acousticness	analysis_url	danceability	duration_ms	energy	id	instrumentalness	key	liveness	loudness	mode	speechiness	tempo	time_signature	track_href	type	uri	valence	artist	title	rating
0.842	https://api.spotify.com/v1/audio-analysis/2ExuB0nPf6tbPuqi1NmEb2	0.601	127507.0	0.336	2ExuB0nPf6tbPuqi1NmEb2	0.0	0.0	0.681	-8.702	1.0	0.0674	144.735	4.0	https://api.spotify.com/v1/tracks/2ExuB0nPf6tbPuqi1NmEb2	audio_features	spotify:track:2ExuB0nPf6tbPuqi1NmEb2	0.675	Adele	That's It, I Quit, I'm Movin' On (Live at Hotel Cafe)	GOOD
0.957	https://api.spotify.com/v1/audio-analysis/5e0yhLq9wgRWdWnNzRfl5c	0.568	223400.0	0.0844	5e0yhLq9wgRWdWnNzRfl5c	0.0	9.0	0.693	-12.401	0.0	0.0354	80.151	4.0	https://api.spotify.com/v1/tracks/5e0yhLq9wgRWdWnNzRfl5c	audio_features	spotify:track:5e0yhLq9wgRWdWnNzRfl5c	0.487	Adele	Crazy for You (Live at Hotel Cafe)	GOOD
0.818	https://api.spotify.com/v1/audio-analysis/2Nj5jhkFw5Wczc6XjplE03	0.718	212027.0	0.33	2Nj5jhkFw5Wczc6XjplE03	0.0	6.0	0.685	-8.844	1.0	0.0651	132.731	4.0	https://api.spotify.com/v1/tracks/2Nj5jhkFw5Wczc6XjplE03	audio_features	spotify:track:2Nj5jhkFw5Wczc6XjplE03	0.769	Adele	Right as Rain (Live at Hotel Cafe)	GOOD
0.818	https://api.spotify.com/v1/audio-analysis/74Q83mcnaLhKoMvqPFhtRa	0.695	185440.0	0.384	74Q83mcnaLhKoMvqPFhtRa	0.0	2.0	0.977	-8.141	1.0	0.229	136.167	4.0	https://api.spotify.com/v1/tracks/74Q83mcnaLhKoMvqPFhtRa	audio_features	spotify:track:74Q83mcnaLhKoMvqPFhtRa	0.731	Adele	My Same (Live at Hotel Cafe)	GOOD
0.976	https://api.spotify.com/v1/audio-analysis/16nQF9mLw4qMKnz9cJ2cpn	0.447	232200.0	0.167	16nQF9mLw4qMKnz9cJ2cpn	2.87e-06	10.0	0.672	-12.175	1.0	0.0375	143.84	3.0	https://api.spotify.com/v1/tracks/16nQF9mLw4qMKnz9cJ2cpn	audio_features	spotify:track:16nQF9mLw4qMKnz9cJ2cpn	0.116	Adele	Make You Feel My Love (Live at Hotel Cafe)	GOOD
0.956	https://api.spotify.com/v1/audio-analysis/2NhgyGi5btUJKZU0BdlDxW	0.575	221493.0	0.144	2NhgyGi5btUJKZU0BdlDxW	0.0	9.0	0.715	-12.283	1.0	0.0391	108.827	4.0	https://api.spotify.com/v1/tracks/2NhgyGi5btUJKZU0BdlDxW	audio_features	spotify:track:2NhgyGi5btUJKZU0BdlDxW	0.329	Adele	Daydreamer (Live at Hotel Cafe)	GOOD
0.92	https://api.spotify.com/v1/audio-analysis/1DWbTRHEL2x9sZmdagh2Su	0.439	228573.0	0.354	1DWbTRHEL2x9sZmdagh2Su	0.00578	1.0	0.178	-9.343	1.0	0.031	118.494	4.0	https://api.spotify.com/v1/tracks/1DWbTRHEL2x9sZmdagh2Su	audio_features	spotify:track:1DWbTRHEL2x9sZmdagh2Su	0.182	Adele	Hometown Glory (Live at Hotel Cafe)	GOOD
0.00316	https://api.spotify.com/v1/audio-analysis/1nX4VLG50VzERLthNEXWtY	0.414	268093.0	0.713	1nX4VLG50VzERLthNEXWtY	0.0	7.0	0.124	-4.946	0.0	0.032	95.374	3.0	https://api.spotify.com/v1/tracks/1nX4VLG50VzERLthNEXWtY	audio_features	spotify:track:1nX4VLG50VzERLthNEXWtY	0.441	Adele	Many Shades of Black	GOOD
0.0132	https://api.spotify.com/v1/audio-analysis/4zQuwW24dweWcaX0fEJkP2	0.705	256947.0	0.806	4zQuwW24dweWcaX0fEJkP2	0.00428	9.0	0.0701	-3.607	1.0	0.0309	103.383	4.0	https://api.spotify.com/v1/tracks/4zQuwW24dweWcaX0fEJkP2	audio_features	spotify:track:4zQuwW24dweWcaX0fEJkP2	0.734	Amy Winehouse	You Know I'm No Good	GOOD
0.491	https://api.spotify.com/v1/audio-analysis/6yLX8QnxlnEqZfs3YKCfjF	0.643	185187.0	0.871	6yLX8QnxlnEqZfs3YKCfjF	0.0	1.0	0.29	-2.734	0.0	0.118	121.569	4.0	https://api.spotify.com/v1/tracks/6yLX8QnxlnEqZfs3YKCfjF	audio_features	spotify:track:6yLX8QnxlnEqZfs3YKCfjF	0.452	Amy Winehouse	Tears Dry On Their Own	GOOD
