ARTIST	TITLE	ACOUSTIC	DANCE	DURATION	ENERGY	INSTRUMENTAL	LIVE	LOUD	SPEECH	TEMPO	VALENCE	RATING
Amy Winehouse	Wake Up Alone - Original Recording	0.5720000000000001	0.45399999999999996	264267.0	0.37799999999999995	5.78e-06	0.0956	8.986	0.061	169.757	0.272	GOOD
Amy Winehouse	To Know Him Is To Love Him - Live	0.934	0.479	145067.0	0.196	0.000122	0.0827	8.667	0.0476	170.407	0.366	GOOD
Amy Winehouse	Fuck Me Pumps	0.0715	0.89	200600.0	0.48	0.0	0.11	6.914	0.10300000000000001	102.999	0.653	GOOD
Amy Winehouse	Brother	0.207	0.757	253060.0	0.395	0.00014099999999999998	0.11800000000000001	10.812999999999999	0.252	83.76	0.637	GOOD
Amy Winehouse	Addicted	0.0019100000000000002	0.779	165120.0	0.513	0.017	0.102	14.444	0.0506	107.988	0.7879999999999999	GOOD
Amy Winehouse	Cupid - Deluxe Edition Version	0.163	0.6409999999999999	228853.0	0.609	0.0	0.0811	4.596	0.0638	87.181	0.696	GOOD
Amy Winehouse	(There Is) No Greater Love	0.9440000000000001	0.391	128933.0	0.22899999999999998	1.66e-05	0.0951	12.765999999999998	0.0464	137.865	0.282	GOOD
Amy Winehouse	Like Smoke	0.154	0.637	278000.0	0.866	0.0	0.18100000000000002	3.9789999999999996	0.0868	97.897	0.336	GOOD
Amy Winehouse	A Song For You	0.23199999999999998	0.524	269373.0	0.542	3.13e-05	0.327	7.516	0.0513	119.979	0.36200000000000004	GOOD
Amy Winehouse	Love Is A Losing Game	0.317	0.48	154160.0	0.561	0.006409999999999999	0.184	5.874	0.027000000000000003	164.791	0.541	GOOD
Amy Winehouse	Half Time	0.375	0.624	230853.0	0.488	9.63e-05	0.33899999999999997	8.258	0.0584	84.21799999999999	0.273	GOOD
Amy Winehouse	Best Friends, Right?	0.10099999999999999	0.601	176293.0	0.759	0.0	0.213	6.934	0.0557	97.501	0.581	GOOD
Amy Winehouse	The Girl From Ipanema	0.25	0.696	166960.0	0.616	4.35e-06	0.107	5.144	0.047	138.059	0.66	GOOD
Tony Bennett	Body And Soul	0.87	0.342	200587.0	0.249	5.0900000000000004e-05	0.152	11.812000000000001	0.0277	94.74600000000001	0.203	GOOD
Norah Jones	Burn	0.92	0.41600000000000004	279227.0	0.239	0.6859999999999999	0.111	17.79	0.0666	171.21599999999998	0.5539999999999999	GOOD
Norah Jones	Tragedy	0.841	0.68	254840.0	0.226	0.0273	0.109	13.065999999999999	0.0332	125.12700000000001	0.386	GOOD
Norah Jones	Flipside	0.486	0.623	221293.0	0.532	0.0775	0.138	9.6	0.0334	132.928	0.379	GOOD
Norah Jones	It's A Wonderful Time For Love	0.88	0.6729999999999999	233893.0	0.223	0.413	0.102	18.429000000000002	0.0322	128.77700000000002	0.37	GOOD
Norah Jones	And Then There Was You	0.956	0.47	185587.0	0.0845	0.147	0.0825	20.204	0.0305	84.625	0.15	GOOD
Norah Jones	Don’t Be Denied	0.769	0.623	354522.0	0.22899999999999998	0.00396	0.109	12.754000000000001	0.0305	101.42399999999999	0.207	GOOD
Norah Jones	Day Breaks	0.924	0.547	168107.0	0.21600000000000003	0.214	0.109	14.908	0.0343	79.941	0.358	GOOD
Norah Jones	Peace	0.943	0.601	315320.0	0.19	0.106	0.102	15.123	0.05	135.401	0.179	GOOD
Norah Jones	Once I Had A Laugh	0.953	0.46799999999999997	192693.0	0.163	0.637	0.10300000000000001	11.927	0.0304	107.538	0.42	GOOD
Norah Jones	Sleeping Wild	0.894	0.6629999999999999	187707.0	0.131	0.525	0.0986	19.744	0.0326	111.75	0.23	GOOD
Norah Jones	Carry On	0.924	0.547	168107.0	0.21600000000000003	0.214	0.109	14.908	0.0343	79.941	0.358	GOOD
Norah Jones	Fleurette Africaine (African Flower)	0.9390000000000001	0.475	321987.0	0.121	0.7290000000000001	0.11199999999999999	16.199	0.0367	116.814	0.203	GOOD
Norah Jones	Peace - Live In NYC	0.904	0.49	244200.0	0.297	0.151	0.6970000000000001	13.79	0.0336	135.124	0.14	GOOD
Norah Jones	I've Got To See You Again - Live In NYC	0.941	0.499	307627.0	0.28300000000000003	0.09699999999999999	0.578	11.573	0.0311	133.444	0.272	GOOD
Norah Jones	Out On The Road - Live In NYC	0.899	0.40700000000000003	271253.0	0.433	0.0764	0.73	9.464	0.0349	131.786	0.272	GOOD
Norah Jones	Sunrise - Live In NYC	0.914	0.501	220987.0	0.265	0.0402	0.6970000000000001	14.19	0.0359	142.987	0.33299999999999996	GOOD
Norah Jones	Burn - Live In NYC	0.9059999999999999	0.518	357840.0	0.392	0.649	0.467	13.997	0.048	80.998	0.248	GOOD
Norah Jones	It’s A Wonderful Time For Love - Live In NYC	0.9	0.603	232773.0	0.33899999999999997	0.0883	0.69	13.702	0.027000000000000003	130.24	0.317	GOOD
Norah Jones	Flipside - Live In NYC	0.727	0.652	280320.0	0.527	0.11199999999999999	0.122	10.011000000000001	0.0316	135.773	0.631	GOOD
Norah Jones	Don't Know Why - Live In NYC	0.899	0.547	233067.0	0.26	0.015	0.685	11.360999999999999	0.0303	146.276	0.37	GOOD
Norah Jones	Fleurette Africaine (African Flower) - Live In NYC	0.915	0.501	318760.0	0.17800000000000002	0.914	0.691	20.899	0.0295	108.65700000000001	0.171	GOOD
